GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US01,01,Alabama,0400000US01,01,Alabama,Alabama,74.7,0.5
0400000US01,01,Alabama,7950000US0100100,0100100,"Alabama - Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",70.9,2.5
0400000US01,01,Alabama,7950000US0100200,0100200,Alabama - Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,80.5,2.7
0400000US01,01,Alabama,7950000US0100301,0100301,Alabama - Huntsville (North) & Madison (East) Cities PUMA,Huntsville (North) & Madison (East) Cities PUMA,87.0,2.8
0400000US01,01,Alabama,7950000US0100302,0100302,Alabama - Huntsville City (Central & South) PUMA,Huntsville City (Central & South) PUMA,81.9,2.9
0400000US01,01,Alabama,7950000US0100400,0100400,Alabama - DeKalb & Jackson Counties PUMA,DeKalb & Jackson Counties PUMA,69.2,3.6
0400000US01,01,Alabama,7950000US0100500,0100500,Alabama - Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,81.3,2.8
0400000US01,01,Alabama,7950000US0100600,0100600,Alabama - Morgan & Lawrence Counties--Decatur City PUMA,Morgan & Lawrence Counties--Decatur City PUMA,68.6,2.6
0400000US01,01,Alabama,7950000US0100700,0100700,Alabama - Cullman & Winston Counties PUMA,Cullman & Winston Counties PUMA,70.3,3.1
0400000US01,01,Alabama,7950000US0100800,0100800,Alabama - St. Clair & Blount Counties PUMA,St. Clair & Blount Counties PUMA,74.7,3.4
0400000US01,01,Alabama,7950000US0100900,0100900,Alabama - Etowah County PUMA,Etowah County PUMA,74.6,3.5
0400000US01,01,Alabama,7950000US0101000,0101000,"Alabama - Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA","Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",73.3,2.5
0400000US01,01,Alabama,7950000US0101100,0101100,Alabama - Calhoun County PUMA,Calhoun County PUMA,72.2,3.4
0400000US01,01,Alabama,7950000US0101200,0101200,Alabama - Shelby County PUMA,Shelby County PUMA,88.7,1.7
0400000US01,01,Alabama,7950000US0101301,0101301,Alabama - Birmingham City (West) PUMA,Birmingham City (West) PUMA,66.9,3.6
0400000US01,01,Alabama,7950000US0101302,0101302,Alabama - Birmingham City (East) PUMA,Birmingham City (East) PUMA,70.0,3.4
0400000US01,01,Alabama,7950000US0101303,0101303,"Alabama - Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",88.2,2.1
0400000US01,01,Alabama,7950000US0101304,0101304,"Alabama - Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",81.4,2.6
0400000US01,01,Alabama,7950000US0101305,0101305,"Alabama - Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",78.2,3.1
